ファイル名,カテゴリー,タイトル,解説,制作年,メモ（非公開）,,,,
yanagisawaatsushi.jpg,似顔絵マインドマップ,"「インストール」
（柳澤敦）","柳沢敦の「急にボールが来たので」をなぜモチーフにしたか、今ではわかりません。
パソコンのソフトや、iPadのアプリが慣れなず、嬉しさよりも、モヤモヤが勝った様子です。",2020,,,,,
YOSHIKI.jpg,似顔絵マインドマップ,YOSHIKI,"当時私の死活問題だった「首痛」YOSHIKIもきっと悩んでいただろうと描きました。
原因は日頃の猫背です。これが寝違いによってブーストされ、１週間くらい眠れない悩みを強く表現しています。",2020,,,,,
zibun4koma.jpg,似顔絵マインドマップ,自分4コマ,"似顔絵マインドマップで、最後に描いたのが、「自分」でした。
漫画を描いてみたいという思いから、まずは4コマ漫画から始めようと、イメージを膨らましています。
これ以後、4コマ漫画を量産するようになりました。",2020,,,,,
manga01.jpg,4コマ漫画,UNO,,2026,,,,,
manga02.jpg,4コマ漫画,手荒れ,,2026,,,,,
manga03.jpg,4コマ漫画,RUNNING,,2026,,,,,
manga04.jpg,4コマ漫画,世界史が面白い,,2026,,,,,
manga05.jpg,4コマ漫画,クレーンゲーム,,2026,,,,,
manga06.jpg,4コマ漫画,社会が面白い,,2026,,,,,
manga07.jpg,4コマ漫画,監視家族社会,,2026,,,,,
manga08.jpg,4コマ漫画,スマホストレス,,2026,,,,,
manga09.jpg,4コマ漫画,食欲おばけ,,2026,,,,,
manga_basuke.jpg,4コマ漫画,カオスバスケ,,,,,,,
manga_bunsu.jpg,4コマ漫画,分数,,,,,,,
manga_kyariakyoiku.jpg,4コマ漫画,キャリア教育,こちらは、ある会社のキャリア教育事業のLP（ライティングページ）で、キャリア教育について説明をするために、4コマ漫画を描きました。,,,,,,
manga_panto.jpg,4コマ漫画,パントマイム,,,,,,,
2014nenga.jpg,キャラクター,2014年賀状,,2014,,,,,
2015nenga.jpg,キャラクター,2015年賀状,,2015,,,,,
2016nenga.jpg,キャラクター,2016年賀状,,2016,,,,,
2017nenga.jpg,キャラクター,2017年賀状,,2017,,,,,
2022nenga.jpg,キャラクター,2022年賀状,,2022,,,,,
2023nenga.jpg,キャラクター,2023年賀状,,2023,,,,,
2025nenga.jpg,キャラクター,2025年賀状,,2025,,,,,
2026nenga.jpg,キャラクター,2026年賀状,,2026,,,,,
janastar1.gif,キャラクター,ジャナスター1,,2025,,,,,
janastar2.gif,キャラクター,ジャナスター2,,2025,,,,,
janastar3.gif,キャラクター,ジャナスター3,,2025,,,,,
janastar4.gif,キャラクター,ジャナスター4,,2025,,,,,
kazoku.jpg,キャラクター,"1ページ漫画
「夢」",,2024,,,,,
ojana_honensai.jpg,キャラクター,大謝名豊年祭,,,,,,,
onikyudan1.GIF,キャラクター,鬼球団①,,2025,,,,,
onikyudan2.GIF,キャラクター,鬼球団②,,2025,,,,,
onikyudan3.GIF,キャラクター,鬼球団③,,2025,,,,,
onikyudan4.GIF,キャラクター,鬼球団④,,2025,,,,,
syuko_soroban.jpg,キャラクター,珠算,友人からの依頼で、塾の看板イメージを作成しました。,,,,,,
gazyumarusoroban.jpeg,キャラクター,がじゅまるそろばん塾,友人からの依頼で、塾の看板イメージを作成しました。,,,,,,
welcomeboad.jpg,キャラクター,結婚式ウェルカムボード,"親戚からの依頼で、作成しました。
あいみょんと、スパイファミリーが好きな家族だったので、これらをミックスさせました。",,,,,,
ojanaakimaturi.jpg,キャラクター,あきまつりポスター,,,,,,,
zyanashishikusakari.jpg,キャラクター,ジャナシシくん,自治会のマスコットキャラクターです。,,,,,,
zyanashishitaki.jpg,キャラクター,ジャナシシポスター,,,,,,,
kamenraidaj.jpg,落書き,仮面ライダー,,,,,,,
smap.jpg,落書き,SMAP,,,,,,,
hakuho.jpg,落書き,白鵬,,,20140504babyincar.jpg,キャラクター,,,2014
36oku.jpg,落書き,,,,,,,,
bakarizumu.jpg,落書き,,,,,,,,
drankmonkey.jpg,落書き,,,,,,,,
eguzeido.jpg,落書き,,,,,,,,
gussan.jpg,落書き,,,,,,,,
hondakeisuke.jpg,落書き,,,,,,,,
hurutachi.jpg,落書き,,,,,,,,
kagawateruyuki.jpg,落書き,,,,,,,,
kajisakku.jpg,落書き,,,,,,,,
kingdomoji.jpg,落書き,,,,,,,,
messhi.jpg,落書き,,,,,,,,
mixi8201330.png,落書き,,mixiで当時描いたもの。マウスで作成しています。,,,,,,
mixi8204067.png,落書き,,mixiで当時描いたもの。マウスで作成しています。,,,,,,
mixi8281112.png,落書き,,mixiで当時描いたもの。マウスで作成しています。,,,,,,
mixi8335173.png,落書き,,mixiで当時描いたもの。マウスで作成しています。,,,,,,
nagatomo.jpg,落書き,,,,,,,,
nakamurashinsuke.jpg,落書き,,,,,,,,
nakanishimanabu.jpg,落書き,,,,,,,,
nomurakatsuya.jpg,落書き,,,,,,,,
okazakisinzi.jpg,落書き,,,,,,,,
projectA.jpg,落書き,,,,,,,,
ragubidaihyo.jpeg,落書き,,,,,,,,
rainmaker.jpg,落書き,,,,,,,,
ranbo.jpg,落書き,,,,,,,,
rosamotard.jpeg,落書き,,,,,,,,
syokakunren.jpg,落書き,,,,,,,,
takadanobuhiko.jpg,落書き,,,,,,,,
tanahasshi.jpg,落書き,,,,,,,,
tenryu.jpg,落書き,,,,,,,,
tutugo.jpg,落書き,,,,,,,,
yamashitashinzi.jpg,落書き,,,,,,,,
yoshidasaori.jpg,落書き,,,,,,,,
ziou.jpg,落書き,,,,,,,,
zyokobichi.jpg,落書き,,,,,,,,
